"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"30","LM","LCA","Ph 100-200",0.768731604232946,0.152,1,"N","N",1,0.994,0.268235294117647,"N","N","N"
"31","LM","LCA","Volume of water content -10 kpa 0-5",0.536169936162489,0.014,1,"Y","N",1,0.994,0.0486315789473684,"N","N","Y"
"32","LM","LCA","Volume of water content -10 kpa 100-200",-0.0480866846369459,0.832,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"33","LM","LCA","Volume of water content -33 kpa 0-5",-0.393663429630003,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"34","LM","LCA","Volume of water content -33 kpa 100-200",-0.181721403332299,0.178,1,"N","N",1,0.994,0.3059375,"N","N","N"
"35","LM","LCA","Volume of water content -1500 kpa 0-5",0.14838889273138,0.406,1,"N","N",1,0.994,0.570127659574468,"N","N","N"
"36","LM","LCA","Volume of water content -1500 kpa 100-200",-0.15706902996205,0.242,1,"N","N",1,0.994,0.383942307692308,"N","N","N"
"37","LM","LCA","Nitrogen 0-5",0.124836366556844,0.358,1,"N","N",1,0.994,0.525066666666667,"N","N","N"
"38","LM","LCA","Nitrogen 100-200",0.0497889456550654,0.784,1,"N","N",1,0.994,0.88,"N","N","N"
"39","LM","LCA","Soil Organic Carbon 0-5",0.0146145631064109,0.916,1,"N","N",1,0.994,0.965750798722045,"N","N","N"
"40","LM","LCA","Soil Organic Carbon 100-200",-0.0867152395444566,0.152,1,"N","N",1,0.994,0.268235294117647,"N","N","N"
"41","LM","LCA","Sand Available Water 0-5",-0.29752515235545,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"42","LM","LCA","Sand Available Water 100-200",0.0021893780347546,0.994,1,"N","N",1,0.994,0.994,"N","N","N"
"43","LM","LCA","Clay/Loam Available Water 0-5",0.238332406891264,0.138,1,"N","N",1,0.994,0.25021978021978,"N","N","N"
"44","LM","LCA","Clay/Loam Available Water 100-200",0.0879317563592906,0.412,1,"N","N",1,0.994,0.576101694915254,"N","N","N"
"45","LM","CA","Clay 0-5",-1.81909649967999,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
